name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
org.apache.velocity.runtime.resource.loader.StringResourceLoader,14,2,0,11,52,43,0,11,12,0.955128205,467,0.166666667,1,0.5,0.276923077,2,3,31.5,12,2.2143,1
org.apache.velocity.runtime.parser.node.ASTMulNode,3,3,0,7,6,3,4,4,3,2,16,0,0,0.972222222,0.533333333,1,1,4.333333333,1,0.3333,0
org.apache.velocity.texen.Generator,25,1,0,7,78,194,2,5,17,0.878787879,530,0.727272727,3,0,0.261904762,0,0,19.76,3,1.04,0
org.apache.velocity.servlet.VelocityServlet,18,3,0,10,62,149,0,10,6,1.019607843,417,0.444444444,1,0.6,0.338235294,1,2,21.66666667,5,1.1111,0
org.apache.velocity.runtime.log.LogDisplayWrapper,16,2,0,3,24,106,1,2,11,0.333333333,151,1,1,0.605263158,0.5,1,6,8.25,2,1.0625,0
org.apache.velocity.context.EvaluateContext,11,2,0,7,39,7,1,6,9,0.666666667,245,0,1,0.72972973,0.333333333,0,0,21,5,1.9091,2
org.apache.velocity.runtime.parser.node.ASTStringLiteral,8,2,0,14,43,8,4,12,8,0.628571429,376,1,1,0.833333333,0.265625,1,2,45.375,5,1.875,0
org.apache.velocity.runtime.parser.node.ASTWord,3,2,0,5,6,3,4,3,3,2,17,0,0,0.967741935,0.533333333,0,0,4.666666667,1,0.3333,0
org.apache.velocity.util.introspection.IntrospectorCacheImpl,4,1,0,4,17,0,1,3,4,0.333333333,120,0.75,1,0,0.583333333,0,0,28,4,1.5,0
org.apache.velocity.app.event.implement.EscapeJavaScriptReference,3,2,0,2,6,3,0,2,1,2,12,0,0,0.714285714,0.666666667,1,2,3,1,0.6667,0
org.apache.velocity.runtime.parser.node.ASTDirective,8,2,0,18,41,0,5,15,8,0.642857143,218,1,1,0.833333333,0.28125,1,1,25.75,1,0.75,3
org.apache.velocity.app.event.EventHandlerUtil,12,1,0,21,35,66,6,15,9,2,337,0,0,0,0.295454545,0,0,27.08333333,7,2,0
org.apache.velocity.context.AbstractContext,13,2,1,5,18,58,1,4,13,0.666666667,103,1,1,0.633333333,0.461538462,0,0,6.846153846,4,1.4615,0
org.apache.velocity.runtime.parser.TokenMgrError,6,3,0,2,19,15,2,0,4,1.12,184,0,0,0.8125,0.5,1,1,28.83333333,14,2.8333,0
org.apache.velocity.runtime.parser.node.MapGetExecutor,4,2,0,4,18,0,1,3,2,0.555555556,116,0.333333333,0,0.571428571,0.45,0,0,27.25,6,2,1
