name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
org.apache.camel.component.quartz.QuartzExchange,4,2,0,6,8,6,2,5,4,2,26,0,0,0.896551724,0.5,0,0,5.5,1,0.75,0
org.apache.camel.component.mina.MinaComponent,6,3,0,21,33,15,1,21,2,2,176,0,0,0.8,0.5,2,2,28.33333333,1,0.6667,0
org.apache.camel.processor.loadbalancer.RandomLoadBalancer,2,3,0,3,7,1,0,3,1,2,24,0,0,0.833333333,0.666666667,1,1,11,1,0.5,0
org.apache.camel.builder.ValueBuilder,26,1,1,10,47,0,5,5,24,0.08,236,1,1,0,0.258241758,0,0,8.038461538,2,1,0
org.apache.camel.component.xmpp.XmppComponent,4,3,0,4,19,6,1,4,3,2,62,0,0,0.888888889,0.375,1,1,14.5,1,0.5,0
org.apache.camel.builder.ResequencerBuilder,8,3,0,6,13,14,2,6,8,0.666666667,70,1,0,0.909090909,0.35,1,1,7.375,1,0.875,0
org.apache.camel.spring.xml.CamelBeanDefinitionParser,13,2,0,18,112,76,3,17,1,0.875,1000,1,1,0.4,0.272727273,1,1,75.76923077,10,5.2308,0
org.apache.camel.Message,13,1,0,66,13,78,66,1,13,2,13,0,0,0,0.369230769,0,0,0,1,1,1
org.apache.camel.builder.ConstantProcessorBuilder,2,1,0,4,3,0,2,2,2,0,12,1,1,0,0.75,0,0,4.5,1,0.5,0
org.apache.camel.component.cxf.CxfComponent,6,3,0,13,18,13,1,13,4,0.8,76,1,0,0.8,0.333333333,1,1,11.5,1,0.6667,0
org.apache.camel.CamelTemplate,25,2,0,18,45,252,8,14,20,0.675,273,1,3,0.233333333,0.24,1,1,9.72,5,1.12,0
org.apache.camel.component.mail.MessageHeaderAccessException,2,5,0,2,6,0,1,1,2,1,22,1,0,0.944444444,0.666666667,0,0,9,1,0.5,0
org.apache.camel.processor.ChoiceProcessor,7,2,0,7,25,0,1,6,5,0.166666667,153,1,1,0.538461538,0.357142857,1,1,20.57142857,4,1.2857,0
org.apache.camel.component.jbi.JbiException,3,5,0,2,6,3,1,1,3,2,16,0,0,1,0.777777778,0,0,4.333333333,0,0,0
org.apache.camel.util.UuidGenerator,6,1,0,2,25,5,2,0,5,0.7,166,1,0,0,0.5,0,0,25.66666667,1,0.5,0
org.apache.camel.component.jms.JmsEndpoint,19,2,0,20,31,133,6,18,18,0.644444444,170,1,2,0.4375,0.163157895,1,1,7.684210526,2,1,0
org.apache.camel.bam.model.ProcessDefinition,7,2,0,11,21,17,6,5,6,0.666666667,90,1,0,0.375,0.375,0,0,11.57142857,2,1,0
org.apache.camel.impl.LoggingExceptionHandler,3,1,0,9,8,1,4,5,3,0,26,1,1,0,0.5,0,0,7.333333333,1,0.3333,0
org.apache.camel.Consumer,0,1,0,27,0,0,26,1,0,2,0,0,0,0,0,0,0,0,0,0,0
org.apache.camel.builder.RecipientListBuilder,2,2,0,6,4,0,1,6,2,0,16,1,1,0.961538462,0.666666667,0,0,6.5,1,0.5,0
org.apache.camel.component.jms.JmsPollingConsumer,12,3,0,8,19,60,1,8,9,0.363636364,101,1,0,0.52173913,0.354166667,1,1,7.333333333,3,1.1667,0
org.apache.camel.builder.xml.InvalidXPathExpression,2,6,0,2,7,0,1,1,2,0,25,1,0,0.944444444,0.666666667,0,0,11,1,0.5,0
org.apache.camel.component.xmpp.XmppMessage,14,3,0,6,29,35,1,6,13,0.153846154,132,1,0,0.636363636,0.339285714,2,8,8.357142857,2,1.1429,0
org.apache.camel.Converter,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
org.apache.camel.impl.DefaultMessage,11,2,9,15,23,49,10,5,9,0.6,87,1,0,0.523809524,0.327272727,1,1,6.818181818,2,1.0909,0
org.apache.camel.bam.model.ProcessInstance,13,3,0,14,33,68,9,7,11,0.854166667,121,1,1,0.45,0.283333333,0,0,8,2,1,0
org.apache.camel.component.file.FileComponent,3,3,0,5,8,3,1,5,2,2,28,0,0,0.941176471,0.5,1,1,8.333333333,1,0.3333,0
org.apache.camel.component.mail.MailMessage,13,3,0,8,29,36,1,8,11,0.5,158,1,0,0.65625,0.326923077,2,7,11.07692308,4,1.3077,0
org.apache.camel.component.pojo.PojoInvocation,4,1,0,5,5,0,5,0,4,0.666666667,28,1,0,0,0.4375,0,0,5.25,1,0.75,0
org.apache.camel.impl.DefaultPollingConsumer,12,3,0,11,27,44,1,10,8,0.727272727,124,1,2,0.571428571,0.233766234,1,1,9,3,0.9167,0
org.apache.camel.impl.CachingInjector,3,1,0,4,6,0,2,2,2,0.5,33,1,1,0,0.666666667,0,0,9,2,1,0
org.apache.camel.component.mail.MailExchange,16,2,0,8,19,114,4,6,12,0.8,90,1,1,0.65,0.2875,1,3,4.5625,1,0.875,0
org.apache.camel.bam.model.TemporalEntity,7,2,2,3,8,9,2,1,7,0.666666667,40,1,0,0.333333333,0.642857143,0,0,4.428571429,2,1.1429,0
org.apache.camel.Route,8,1,3,11,12,14,10,1,7,0.714285714,56,1,1,0,0.5,0,0,5.625,1,0.875,0
org.apache.camel.spi.Policy,1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,0
org.apache.camel.util.ExpressionHelper,3,1,0,5,8,3,1,4,3,2,23,0,0,0,0.5,0,0,6.666666667,1,0.6667,0
org.apache.camel.MessageDriven,2,1,0,1,2,1,1,0,2,2,2,0,0,0,1,0,0,0,1,1,0
org.apache.camel.bam.processor.NoCorrelationKeyException,3,4,0,4,9,0,1,4,3,0.5,33,1,2,0.894736842,0.555555556,0,0,9.333333333,1,0.6667,0
org.apache.camel.builder.SplitterBuilder,2,3,0,4,5,0,1,4,2,0,20,1,1,0.985915493,0.666666667,1,1,8.5,1,0.5,0
