name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
org.gjt.sp.jedit.gui.SelectLineRange,5,7,0,8,52,2,1,8,4,0.5,372,1,1,0.993939394,0.466666667,0,0,72.4,5,2,0
org.gjt.sp.jedit.options.GeneralOptionPane,7,6,0,6,36,3,2,6,1,0.788888889,508,1,0,0.991111111,0.5,3,5,69.42857143,6,1.8571,0
org.objectweb.asm.CodeVisitor,17,1,0,5,17,136,4,1,17,2,17,0,0,0,0.394957983,0,0,0,1,1,0
org.gjt.sp.jedit.ActionContext,8,1,2,18,27,0,16,3,8,0.523809524,155,0.333333333,0,0,0.35,0,0,18,3,1.5,0
org.gjt.sp.jedit.textarea.Gutter,40,4,0,14,106,606,5,14,36,0.929230769,1100,0.88,3,0.943065693,0.125,3,17,25.875,31,2.1,1
bsh.BSHTryStatement,2,2,0,16,27,1,1,15,1,2,227,0,0,0.947368421,0.625,1,1,112.5,1,0.5,0
org.gjt.sp.jedit.textarea.StructureMatcher,2,1,0,4,2,1,4,2,2,2,2,0,0,0,1,0,0,0,1,1,0
org.gjt.sp.jedit.menu.DirectoryProvider,3,1,0,13,34,1,2,13,3,0.5,227,1,0,0,0.555555556,0,0,74.33333333,18,6.3333,0
org.gjt.sp.jedit.EditServer,8,2,0,9,56,12,3,8,4,0.771428571,386,1,0,0.897058824,0.3125,0,0,46.625,15,2.875,0
gnu.regexp.RETokenEnd,3,2,0,4,9,1,1,3,0,0.5,71,1,0,0.777777778,0.444444444,1,2,22.33333333,6,2.3333,0
bsh.ClassGeneratorUtil,23,1,0,34,118,239,1,33,6,0.96,2050,0,5,0,0.157004831,0,0,87.04347826,18,5.3913,0
org.gjt.sp.jedit.io.VFS,36,1,4,40,88,534,32,15,30,0.979365079,725,0.277777778,0,0,0.221978022,0,0,18.63888889,7,1.5556,3
bsh.collection.CollectionIterator,4,1,0,2,15,0,1,1,3,0.333333333,54,1,0,0,0.75,0,0,12.25,4,1.5,0
org.gjt.sp.jedit.buffer.PositionManager,5,1,0,4,17,0,4,2,4,0.375,130,0.5,0,0,0.533333333,0,0,24.6,4,2,0
bsh.JJTParserState,12,1,0,3,25,0,2,1,0,0.436363636,218,1,0,0,0.395833333,0,0,16.75,3,1.3333,0
org.gjt.sp.jedit.options.Abbrev,2,1,0,2,3,1,2,0,0,1,16,0,0,0,0.75,0,0,6,0,0,0
org.gjt.sp.jedit.OptionPane,4,1,0,5,4,6,5,0,4,2,4,0,0,0,1,0,0,0,1,1,0
gnu.regexp.REFilterReader,5,3,0,4,18,8,0,4,5,0.375,176,1,2,0.818181818,0.366666667,2,3,33,7,2.6,0
com.microstar.xml.XmlHandler,13,1,0,13,13,78,13,0,13,2,13,0,0,0,0.430769231,0,0,0,1,1,0
org.gjt.sp.jedit.syntax.ParserRule,11,1,0,7,22,43,4,4,9,0.751851852,364,0,4,0,0.533333333,0,0,29.63636364,5,1.4545,1
