name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
org.apache.log4j.chainsaw.XMLFileHandler,8,2,0,4,22,4,1,3,4,0.767857143,273,1,2,0.708333333,0.291666667,1,2,31.125,6,2.375,3
org.apache.log4j.spi.Configurator,1,1,0,7,1,0,6,1,1,2,2,0,0,0,1,0,0,0,1,1,2
org.apache.log4j.nt.test.NTMin,7,1,0,6,30,17,0,6,2,0.75,144,0,1,0,0.277777778,0,0,19.28571429,2,0.8571,1
org.apache.log4j.or.DefaultRenderer,2,1,0,2,4,1,1,1,1,2,8,0,0,0,0.75,0,0,3,1,0.5,2
org.apache.log4j.varia.FallbackErrorHandler,8,1,0,6,22,22,0,6,8,0.714285714,157,0,2,0,0.339285714,0,0,18.25,2,1.125,3
org.apache.log4j.chainsaw.EventDetails,10,1,0,9,16,29,6,3,0,0.777777778,94,1,1,0,0.25,0,0,7.6,1,0.8,2
org.apache.log4j.nt.NTEventLogAppender,17,2,0,8,30,114,1,7,13,0.828125,200,1,0,0.642857143,0.3625,1,1,10.29411765,4,0.8235,4
org.apache.log4j.or.jms.MessageRenderer,2,1,0,3,22,1,1,2,2,2,128,0,0,0,0.75,0,0,63,5,2.5,2
org.apache.log4j.performance.NullAppender,6,2,0,3,8,15,0,3,6,1,34,0,0,0.818181818,0.5,1,1,4.333333333,2,0.8333,2
org.apache.log4j.performance.NewVsSetLen,5,1,0,0,16,0,0,0,2,0.208333333,268,0,0,0,0.333333333,0,0,51.4,4,2,2
org.apache.log4j.lf5.util.LogMonitorAdapter,19,1,0,4,40,159,0,4,14,0.819444444,198,0.5,2,0,0.203947368,0,0,9.210526316,2,1.1053,2
org.apache.log4j.helpers.PatternConverter,6,1,6,10,10,7,8,2,2,0.72,174,0,1,0,0.44,0,0,27.16666667,6,1.8333,2
org.apache.log4j.xml.examples.ReportParserError,5,1,0,1,17,10,0,1,4,2,58,0,0,0,0.666666667,0,0,10.6,1,0.8,2
org.apache.log4j.varia.ReloadingPropertyConfigurator,2,1,0,3,4,1,0,3,2,1,12,0,1,0,0.666666667,0,0,4.5,1,0.5,2
org.apache.log4j.DailyRollingFileAppender,10,3,0,8,42,0,0,8,5,0.866666667,435,0.2,1,0.825,0.311111111,1,1,41,6,1.6,4
org.apache.log4j.net.JMSSink,5,1,0,9,31,10,0,9,2,0.875,151,0,0,0,0.3,0,0,28.8,4,1.6,3
org.apache.log4j.lf5.viewer.LogFactor5InputDialog,4,7,0,5,25,0,4,4,3,0.666666667,125,0.5,0,0.996865204,0.45,0,0,29.75,3,1,2
org.apache.log4j.helpers.BoundedFIFO,10,1,0,3,17,0,2,1,9,0.555555556,249,0,1,0,0.466666667,0,0,23.4,5,2.1,2
org.apache.log4j.spi.LoggingEvent,18,1,0,62,55,99,52,11,12,0.885154062,395,0.476190476,4,0,0.209150327,0,0,19.77777778,5,1.5556,5
org.apache.log4j.lf5.viewer.LogTableRowRenderer,3,6,0,4,13,1,1,3,2,0.75,59,1,0,0.996992481,0.444444444,1,1,18,2,1,3
org.apache.log4j.varia.HUPNode,2,1,0,4,15,0,1,3,2,0.25,77,0,1,0,0.666666667,0,0,35.5,2,1,0
org.apache.log4j.spi.RootCategory,4,3,0,6,7,6,2,4,4,2,30,0,0,0.945454545,0.875,1,1,6.5,2,1,2
org.apache.log4j.lf5.viewer.LogFactor5ErrorDialog,1,7,0,4,14,0,3,2,1,2,56,0,0,1,1,0,0,55,0,0,2
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryImmediateEditor,5,2,0,4,20,8,1,3,3,0.75,121,1,1,0.870967742,0.333333333,1,3,22.8,2,1.4,2
org.apache.log4j.helpers.Transform,2,1,0,2,9,1,2,0,2,2,59,0,0,0,0.5,0,0,28.5,6,3,3
org.apache.log4j.helpers.CyclicBuffer,7,1,0,2,13,0,1,1,7,0.333333333,246,0,1,0,0.523809524,0,0,33.42857143,7,2.7143,2
org.apache.log4j.WriterAppender,20,2,2,10,40,112,4,6,13,0.684210526,296,1,1,0.514285714,0.19375,1,3,13.65,5,1.85,3
org.apache.log4j.helpers.SyslogQuietWriter,4,4,0,3,10,0,1,2,4,0.5,41,0,0,0.875,0.5,2,2,8.75,1,0.75,2
org.apache.log4j.performance.SystemTime,5,1,0,0,14,4,0,0,2,0.25,80,0,0,0,0.25,0,0,14.8,2,1,3
org.apache.log4j.helpers.SyslogWriter,5,2,0,2,18,8,1,1,5,0.75,88,0.5,0,0.764705882,0.45,1,2,15.8,1,0.8,7
org.apache.log4j.chainsaw.LoggingReceiver,6,2,0,5,25,5,2,4,1,0.8,94,0.75,2,0.938461538,0.24,1,1,14,1,0.6667,3
org.apache.log4j.spi.ErrorCode,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,2
org.apache.log4j.test.CategoryWrapper,7,1,0,6,22,11,0,6,3,0.666666667,107,0,1,0,0.375,0,0,13.85714286,2,0.8571,1
org.apache.log4j.lf5.AppenderFinalizer,2,1,0,2,5,0,1,1,1,0,19,1,1,0,0.75,0,0,8,1,0.5,2
org.apache.log4j.helpers.AppenderAttachableImpl,9,1,0,6,23,0,3,3,9,0.125,208,1,0,0,0.416666667,0,0,22,5,3.3333,2
org.apache.log4j.test.Base64,5,1,0,0,15,8,0,0,1,0.833333333,479,0,0,0,0.3125,0,0,94.2,7,2,0
org.apache.log4j.lf5.util.Resource,7,1,0,3,11,15,3,1,7,0.666666667,49,1,0,0,0.642857143,0,0,5.857142857,2,0.8571,2
org.apache.log4j.RollingCalendar,5,3,0,1,15,0,1,0,2,0,170,0,0,0.975206612,0.4,0,0,32.8,3,1,0
org.apache.log4j.lf5.LogRecord,28,1,2,17,46,306,16,1,26,0.912457912,236,1,1,0,0.259259259,0,0,7.035714286,4,1.1429,2
org.apache.log4j.test.X1LoggerFactory,2,1,0,3,4,1,1,3,2,2,10,0,0,0,0.75,0,0,4,1,0.5,0
org.apache.log4j.helpers.AbsoluteTimeDateFormat,5,3,2,4,17,8,4,0,4,1.1,148,0.4,0,0.951219512,0.357142857,1,3,27.6,7,1.6,3
org.apache.log4j.helpers.ThreadLocalMap,2,3,0,1,4,1,1,0,2,2,15,0,0,0.933333333,0.75,0,0,6.5,2,1,2
org.apache.log4j.lf5.viewer.configure.MRUFileManager,17,1,0,1,51,84,1,0,11,0.864583333,344,0.666666667,0,0,0.305882353,0,0,18.88235294,4,1.5294,2
org.apache.log4j.or.ObjectRenderer,1,1,0,8,1,0,8,0,1,2,1,0,0,0,1,0,0,0,1,1,2
