name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
org.apache.lucene.analysis.WhitespaceAnalyzer,2,2,0,3,4,1,0,3,2,2,10,0,0,0.666666667,0.666666667,0,0,4,1,0.5,0
org.apache.lucene.search.QueryTermVector,10,1,0,4,37,0,0,4,9,0.388888889,278,1,0,0,0.34,0,0,26.6,5,1.6,0
org.apache.lucene.analysis.PorterStemmer,27,1,0,1,43,13,1,0,13,0.600961538,1174,1,0,0,0.25308642,0,0,42.18518519,26,5.7407,0
org.apache.lucene.index.TermPositions,1,1,0,21,1,0,20,1,1,2,1,0,0,0,1,0,0,0,1,1,3
org.apache.lucene.analysis.TokenStream,3,1,2,19,4,3,18,1,3,2,7,0,0,0,1,0,0,1.333333333,1,0.6667,1
org.apache.lucene.search.ExactPhraseScorer,2,3,0,8,8,1,2,6,0,2,61,0,0,0.952380952,0.583333333,1,1,29.5,1,0.5,1
org.apache.lucene.search.RangeFilter,7,2,0,6,30,1,1,5,7,0,373,1,0,0.142857143,0.314285714,1,1,51.57142857,12,3.5714,0
org.apache.lucene.index.SegmentInfo,1,1,0,5,2,0,4,1,1,2,16,0,1,0,1,0,0,12,0,0,6
org.apache.lucene.store.BufferedIndexInput,9,2,3,4,14,0,3,1,6,0.575,204,0.8,0,0.619047619,0.416666667,1,4,21.11111111,2,1,3
org.apache.lucene.index.TermInfosWriter,6,1,0,8,29,0,2,6,0,0.436363636,383,0.727272727,5,0,0.479166667,0,0,61,1,0.6667,2
org.apache.lucene.search.MultiSearcher,15,2,1,19,50,0,2,18,13,0.476190476,557,1,1,0.611111111,0.251851852,1,5,35.93333333,6,1.2667,3
org.apache.lucene.analysis.standard.ParseException,5,4,0,2,18,0,1,1,4,0.55,380,0.4,1,0.866666667,0.4,1,1,74,14,4.8,1
org.apache.lucene.search.MultiPhraseQuery,17,2,0,12,55,12,3,10,13,0.625,404,1,0,0.428571429,0.158823529,2,4,22.52941176,7,2.0588,1
org.apache.lucene.store.IndexOutput,14,1,1,18,17,91,18,0,14,2,189,0,0,0,0.297619048,0,0,12.5,1,0.9286,1
org.apache.lucene.search.HitQueue,2,2,0,6,4,1,4,2,0,2,39,0,0,0.916666667,0.666666667,1,3,18.5,4,2,0
org.apache.lucene.search.NonMatchingScorer,6,2,0,4,10,15,1,3,6,2,31,0,0,0.615384615,0.666666667,1,3,4.166666667,1,0.8333,0
org.apache.lucene.search.TopFieldDocs,1,2,0,14,2,0,11,3,0,2,11,0,1,1,1,0,0,9,0,0,0
org.apache.lucene.search.spans.SpanNearQuery,12,3,0,7,46,0,1,7,12,0.613636364,343,1,0,0.592592593,0.208333333,2,2,27.25,7,1.75,1
org.apache.lucene.document.Document,14,1,0,23,35,0,22,1,14,0.5,341,0.5,0,0,0.428571429,0,0,23.21428571,5,2.5714,1
org.apache.lucene.analysis.standard.StandardTokenizerConstants,1,1,0,3,1,0,3,0,0,2,87,0,0,0,0,0,0,68,0,0,0
org.apache.lucene.queryParser.QueryParserTokenManager,36,1,0,5,52,282,1,4,7,0.720300752,2855,0.210526316,1,0,0.405714286,0,0,77.77777778,102,7.0556,4
org.apache.lucene.search.SloppyPhraseScorer,2,3,0,8,11,0,2,6,0,0,106,1,0,0.952380952,0.571428571,1,1,51.5,1,0.5,1
org.apache.lucene.index.TermEnum,6,1,5,25,8,15,24,1,6,2,21,0,0,0,0.583333333,0,0,2.5,1,0.8333,0
org.apache.lucene.search.MultiSearcherThread,6,2,0,12,12,1,1,11,6,0.64,173,1,6,0.921568627,0.35,0,0,26.16666667,6,1.5,0
org.apache.lucene.index.TermVectorsWriter,15,1,0,13,54,41,2,11,10,0.804761905,675,0.533333333,5,0,0.237037037,0,0,43,3,1.2,0
org.apache.lucene.index.FieldsReader,5,1,0,10,36,2,1,9,0,0.625,319,1,3,0,0.333333333,0,0,62,1,0.8,9
org.apache.lucene.store.FSIndexInput,8,3,0,3,19,12,2,2,4,0.666666667,125,0.666666667,1,0.75,0.3,2,8,14.25,1,0.875,0
org.apache.lucene.search.Query,13,1,13,45,39,72,42,7,12,0.833333333,249,1,0,0,0.230769231,0,0,18.07692308,9,1.8462,0
org.apache.lucene.search.RangeQuery,9,2,0,9,32,0,1,8,9,0.291666667,340,1,2,0.6,0.259259259,2,3,36.44444444,11,3,0
org.apache.lucene.search.PrefixQuery,6,2,0,9,28,0,1,8,6,0,147,1,1,0.705882353,0.333333333,2,3,23.33333333,4,1.5,0
org.apache.lucene.analysis.standard.StandardTokenizer,15,3,0,9,29,15,1,8,11,0.6,523,0.7,3,0.214285714,0.285714286,1,1,33.2,10,1.7333,0
org.apache.lucene.search.TopDocs,3,1,1,14,4,0,13,1,2,0.666666667,25,0.333333333,1,0,0.583333333,0,0,6.333333333,1,0.6667,0
org.apache.lucene.analysis.Tokenizer,3,2,3,4,5,1,3,1,1,0.5,17,1,0,0.666666667,0.666666667,0,0,4.333333333,1,0.3333,0
org.apache.lucene.LucenePackage,3,1,0,0,8,3,0,0,1,1,27,0,0,0,0.333333333,0,0,7.666666667,2,1,0
