name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
org.xml.sax.SAXParseException,8,4,0,0,14,0,0,0,8,0.428571429,98,1,0,0.833333333,0.45,0,0,10.75,1,0.5,2
org.apache.xerces.utils.UTF8DataChunk,21,1,0,6,35,68,1,5,12,0.677272727,1458,0.727272727,4,0,0.271428571,0,0,67.9047619,24,4.7619,0
org.apache.xerces.domx.events.EventListener,1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,0
org.apache.xerces.parsers.DOMParser,56,2,2,20,207,778,4,17,37,0.856643357,4705,0.961538462,6,0.704918033,0.183471074,2,14,82.55357143,14,1.7679,4
org.apache.xerces.dom.DocumentFragmentImpl,5,2,0,3,8,10,1,3,5,1.25,25,0,0,0.936170213,0.466666667,1,4,3.8,1,0.6,0
org.apache.xerces.validators.datatype.DatatypeValidator,4,1,0,13,4,6,9,4,4,1.333333333,19,0,0,0,0.4,0,0,0,1,1,1
org.apache.xerces.validators.dtd.CMLeaf,9,2,0,7,23,0,3,4,2,0.375,130,1,0,0.533333333,0.416666667,1,2,13.22222222,2,0.8889,0
org.apache.xerces.validators.dtd.CMStateSet,10,1,0,6,19,0,5,1,1,0.066666667,471,0,0,0,0.566666667,0,0,45.6,7,2.8,0
org.w3c.dom.CDATASection,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
org.w3c.dom.Notation,2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,1,1,2
org.apache.xerces.domx.events.UIEvent,27,1,0,1,27,351,0,1,27,1.038461538,213,0,0,0,0.277777778,0,0,0,1,1,0
org.apache.xerces.validators.datatype.StringValidator,7,1,0,7,8,21,1,6,7,2,16,0,0,0,0.265306122,0,0,1.285714286,1,0.8571,1
org.apache.xerces.utils.ChunkyCharArray,8,1,0,6,17,4,3,3,8,0.653061224,184,1,2,0,0.303571429,0,0,21.125,2,1.5,0
org.apache.xerces.dom.NamedNodeMapImpl,14,1,0,12,51,0,5,8,8,0.557692308,756,0.875,3,0,0.241071429,0,0,52.42857143,16,3.3571,2
org.apache.xerces.dom.CharacterDataImpl,11,2,2,6,26,25,3,4,10,1.05,223,0.5,1,0.814814815,0.477272727,1,1,19.09090909,3,1.3636,1
org.apache.xerces.readers.CharReader,4,3,0,6,9,0,1,5,0,0.380952381,583,1,0,0.926829268,0.40625,1,3,143,1,0.75,0
org.apache.xerces.utils.StringPool,41,1,0,53,61,202,50,4,34,0.871875,2955,0.9375,2,0,0.3375,0,0,70.29268293,9,3.6098,0
org.apache.xerces.readers.XMLEntityReaderFactory,4,1,0,12,8,6,5,7,4,1.333333333,39,1,0,0,0.59375,0,0,8.25,1,0.75,0
org.apache.xerces.readers.XMLCatalogHandler,11,1,1,1,18,15,1,0,11,0.5,102,1,0,0,0.431818182,0,0,8.090909091,1,0.9091,0
org.apache.xerces.validators.datatype.IntegerValidator,11,1,0,8,32,29,1,7,7,0.638461538,595,0.153846154,2,0,0.25,0,0,51.90909091,14,2.0909,0
org.apache.xerces.parsers.SAXParser,48,2,1,5,98,668,1,4,37,0.904255319,1044,1,5,0.737142857,0.145662848,2,10,20.58333333,3,1.0417,9
org.apache.xerces.dom.DeferredDocumentTypeImpl,4,3,0,6,28,0,1,6,1,0.666666667,179,0.5,0,0.947368421,0.5,2,13,43.25,8,2.5,1
org.apache.xerces.dom.NodeImpl,47,1,11,29,87,781,20,14,34,0.910079051,1643,0.818181818,6,0,0.127090301,0,0,33.4893617,31,2.766,3
org.apache.xerces.dom.DeferredCDATASectionImpl,3,5,0,4,6,0,1,4,1,0.75,44,0.5,0,0.969230769,0.555555556,3,22,13,2,1,0
org.apache.xerces.validators.dtd.InsertableElementsInfo,1,1,0,7,2,0,7,0,1,2,12,0,0,0,1,0,0,3,0,0,0
org.apache.xerces.dom.NotationImpl,7,2,1,5,10,9,3,3,7,0.944444444,76,0.666666667,0,0.88,0.571428571,1,3,9.428571429,3,1.7143,0
org.apache.xerces.readers.XMLEntityReader,9,1,5,8,11,0,5,3,5,0.638888889,161,1,2,0,0.466666667,0,0,15.88888889,2,0.8889,1
org.apache.xerces.validators.datatype.IllegalFacetValueException,2,3,0,8,4,1,8,0,2,2,9,0,0,1,0.75,0,0,3.5,0,0,0
org.apache.xerces.validators.dtd.EntityPool,20,1,0,7,31,18,5,3,18,0.811145511,889,0.764705882,2,0,0.28125,0,0,42.6,5,1.95,0
org.apache.xerces.utils.CharDataChunk,19,1,0,9,34,43,4,5,13,0.688888889,549,0.7,4,0,0.277777778,0,0,27.36842105,11,2.6316,0
